digit,original_file,processed_file
0,zero_1.png,processed_zero_1.png
0,zero_10.png,processed_zero_10.png
0,zero_100.png,processed_zero_100.png
0,zero_1000.png,processed_zero_1000.png
0,zero_1001.png,processed_zero_1001.png
0,zero_1002.png,processed_zero_1002.png
0,zero_1003.png,processed_zero_1003.png
0,zero_1004.png,processed_zero_1004.png
0,zero_1005.png,processed_zero_1005.png
0,zero_1006.png,processed_zero_1006.png
0,zero_1007.png,processed_zero_1007.png
0,zero_1008.png,processed_zero_1008.png
0,zero_1009.png,processed_zero_1009.png
0,zero_101.png,processed_zero_101.png
0,zero_1010.png,processed_zero_1010.png
0,zero_1011.png,processed_zero_1011.png
0,zero_1012.png,processed_zero_1012.png
0,zero_1013.png,processed_zero_1013.png
0,zero_1014.png,processed_zero_1014.png
0,zero_1015.png,processed_zero_1015.png
0,zero_1016.png,processed_zero_1016.png
0,zero_1017.png,processed_zero_1017.png
0,zero_1018.png,processed_zero_1018.png
0,zero_1019.png,processed_zero_1019.png
0,zero_102.png,processed_zero_102.png
0,zero_1020.png,processed_zero_1020.png
0,zero_1021.png,processed_zero_1021.png
0,zero_1022.png,processed_zero_1022.png
0,zero_1023.png,processed_zero_1023.png
0,zero_1024.png,processed_zero_1024.png
0,zero_1025.png,processed_zero_1025.png
0,zero_1026.png,processed_zero_1026.png
0,zero_1027.png,processed_zero_1027.png
0,zero_1028.png,processed_zero_1028.png
0,zero_1029.png,processed_zero_1029.png
0,zero_103.png,processed_zero_103.png
0,zero_1030.png,processed_zero_1030.png
0,zero_1031.png,processed_zero_1031.png
0,zero_1032.png,processed_zero_1032.png
0,zero_1033.png,processed_zero_1033.png
0,zero_1034.png,processed_zero_1034.png
0,zero_1035.png,processed_zero_1035.png
0,zero_1036.png,processed_zero_1036.png
0,zero_1037.png,processed_zero_1037.png
0,zero_1038.png,processed_zero_1038.png
0,zero_1039.png,processed_zero_1039.png
0,zero_104.png,processed_zero_104.png
0,zero_1040.png,processed_zero_1040.png
0,zero_1041.png,processed_zero_1041.png
0,zero_1042.png,processed_zero_1042.png
0,zero_1043.png,processed_zero_1043.png
0,zero_1044.png,processed_zero_1044.png
0,zero_1045.png,processed_zero_1045.png
0,zero_1046.png,processed_zero_1046.png
0,zero_1047.png,processed_zero_1047.png
0,zero_1048.png,processed_zero_1048.png
0,zero_1049.png,processed_zero_1049.png
0,zero_105.png,processed_zero_105.png
0,zero_1050.png,processed_zero_1050.png
0,zero_1051.png,processed_zero_1051.png
0,zero_1052.png,processed_zero_1052.png
0,zero_1053.png,processed_zero_1053.png
0,zero_1054.png,processed_zero_1054.png
0,zero_1055.png,processed_zero_1055.png
0,zero_1056.png,processed_zero_1056.png
0,zero_1057.png,processed_zero_1057.png
0,zero_1058.png,processed_zero_1058.png
0,zero_1059.png,processed_zero_1059.png
0,zero_106.png,processed_zero_106.png
0,zero_1060.png,processed_zero_1060.png
0,zero_1061.png,processed_zero_1061.png
0,zero_1062.png,processed_zero_1062.png
0,zero_1063.png,processed_zero_1063.png
0,zero_1064.png,processed_zero_1064.png
0,zero_1065.png,processed_zero_1065.png
